Année,Province/Territoires,CategoryID,Catégories,Rollup,CO2,CH4,CH4eq,N2O,N2Oeq,HFCs,PFCs,SF6,NF3,CO2E,Unit
1990,Ontario,180,Agriculture et foresterie,FALSE,769.4284467,0.012202744,0.305068592,0.017448967,5.199792307,0,0,0,0,774.9333076,kt
1990,Ontario,256,Transport par pipeline,FALSE,2203.532303,2.206912928,55.1728232,0.059719356,17.79636794,0,0,0,0,2276.501494,kt
1990,Manitoba,110,Production de chaleur et d'électricité du secteur public ,FALSE,512.7333042,0.009468195,0.236704875,0.017468046,5.205477848,0,0,0,0,518.1754869,kt
1990,Manitoba,120,Industries de raffinage du pétrole ,FALSE,0,0,0,0,0,0,0,0,0,0,kt
1990,Manitoba,130,Extraction de pétrole et de gaz,FALSE,1.0605,0.0000168,0.00042,0.0000756,0.0225288,0,0,0,0,1.0834488,kt
1990,Manitoba,131,Exploitation minière,FALSE,77.08107573,0.001319593,0.032989818,0.005575437,1.661480112,0,0,0,0,78.77554566,kt
1990,Manitoba,141,Sidérurgie,FALSE,34.4611015,0.000677031,0.016925782,0.000607216,0.180950314,0,0,0,0,34.65897759,kt
1990,Manitoba,142,Métaux non ferreux,FALSE,314.227337,0.008865866,0.221646638,0.005051466,1.505336855,0,0,0,0,315.9543205,kt
1990,Manitoba,143,Produits chimiques,FALSE,112.3791138,0.002205188,0.055129692,0.001968564,0.586632125,0,0,0,0,113.0208756,kt
1990,Manitoba,144,Pâtes et papiers,FALSE,234.5044844,0.019031632,0.475790807,0.013871079,4.133581667,0,0,0,0,239.1138569,kt
1990,Manitoba,145,Ciment,FALSE,53.19787022,0.001046066,0.026151638,0.000969599,0.288940373,0,0,0,0,53.51296223,kt
1990,Manitoba,146,Autres industries manufacturières,FALSE,423.6971954,0.008291996,0.207299888,0.007521401,2.24137755,0,0,0,0,426.1458729,kt
1990,Manitoba,150,Construction,FALSE,62.8565464,0.001140255,0.028506375,0.001741374,0.518929452,0,0,0,0,63.40398223,kt
1990,Manitoba,160,Commercial et institutionnel,FALSE,1395.399149,0.026945053,0.673626322,0.026013242,7.751946101,0,0,0,0,1403.824722,kt
1990,Manitoba,170,Résidentiel,FALSE,1575.157808,3.654179545,91.35448861,0.066811354,19.90978358,0,0,0,0,1686.42208,kt
1990,Manitoba,180,Agriculture et foresterie,FALSE,42.30139164,0.000546772,0.013669301,0.001030104,0.306971098,0,0,0,0,42.62203204,kt
1990,Manitoba,256,Transport par pipeline,FALSE,820.9643737,0.826729862,20.66824655,0.021806801,6.498426698,0,0,0,0,848.131047,kt
1990,Saskatchewan,110,Production de chaleur et d'électricité du secteur public ,FALSE,10980.13559,0.211028995,5.275724871,0.244291245,72.79879099,0,0,0,0,11058.2101,kt
1990,Saskatchewan,120,Industries de raffinage du pétrole ,FALSE,625.3722432,0.014044426,0.35111065,0.006042284,1.800600613,0,0,0,0,627.5239545,kt
1990,Saskatchewan,130,Extraction de pétrole et de gaz,FALSE,2751.176685,6.935882664,173.3970666,0.071681989,21.3612328,0,0,0,0,2945.934985,kt
1990,Saskatchewan,131,Exploitation minière,FALSE,967.9688045,0.019000527,0.475013186,0.01897482,5.654496315,0,0,0,0,974.098314,kt
1990,Saskatchewan,141,Sidérurgie,FALSE,0,0,0,0,0,0,0,0,0,0,kt
